tweets,sentiment
still dont get it !! ,0
I really fucked up this time. I am a moron. Fuck my life. ,0
man i shouldve gone for a cruise what the hell was i thinking coming back home now i'm bored ,0
Hi Matthew how r u my sweet? I miss you   .,0
baby tell me who is she? ,0
@SonjaCassella Not yet.  Getting some help from my brother &amp; parents this morning. They're on their way over.,0
@darenotspeak What's wrong?   Did you want to talk about it?,0
i love my nose piercing but its really annoying me right now!  i would hate to take it out ,0
@mamma_J I was spining someone and fell ,0
@Gen215 ROFL following Jesus! Found 1 th othr day had nothin 2 do w God  Jst using His name 2 get traffic 4give them know not what they do,0
@j_kmrprez yeah I want be able to until next year!&quot; ,0
@haemoglobin_ Why? ,0
"@Stedic I work Saturdays, so nope -- I'm back at work again today. ",0
battlefield heroes beta site is still down ,0
Just woke up. I was going to go workout but I'm still sore from Thursday. ,0
@paulmccourt dunno what sky you're looking at! loads of clouds &amp; brisk wind in Greenisland ,0
@TwilightofDoom NICE!!!!! I havent seen that movie yet tho.... ,0
@kRaZy_FrEaK495 hows guitar hero? lol and matts gone  idk why...he didnt do anythign i dont think lol,0
"@xxbrry yes, you spell it obituary... why?? sounds sad!  and i have no idea how old he was when he died!! read it like 10 years ago!! xxxx",0
@brianrubin @lomara sorry about the headaches ,0
@KankzXD I am jealous! I love that man! I missed him last time he came to Tassie ,0
helping my mommy pack . she's leaving to Mexico in saturday ! ,0
@anthothemantho hahaha i agree! i cried like a baby when they split the brothers up  ha,0
@antonwheel But you never saw the bees.  Oh the bees. ,0
"@hanaames I'd like to be lazy but they keep on making me wake up at 7am  But I do get two afternoons off a week, so not quite a job ",0
hafta go get food and then get ready for work  bye @Orla_x,0
apparently I have Cats on vinyl. but nothing to play it with ,0
"Lord please don't let this guy sit next to me! He got on hi heel boots, a scarf, long nails and ashy hands ",0
I wish I could be back in DC!! ,0
@Bastante_P If only I was in ATL  *sighs*,0
i got heat rash on both feet and am now incapable of walking... damn this weather... (probably the only person in englang thinking that)  ,0
Im back home in Belfast  im realli tired though and upset i aint going to see JLS at the Summertime Ball x,0
Oh and if only lens phone didnt die i would know whats going on at the parade ,0
@CatsHateMangos Ah rubbish. I leave for his on 12th ,0
has used more moisturer today than all the other times of moisturiser usage combined.............. i feel gay ,0
"Got No Txtz,, Itz Cold,, Home Alone And Nothing To Do !!!   ",0
"Dammit, can't find a retail outlet round here with the Cruzer Contour ",0
@lilmonkee987 i know what you mean... i feel sorta sad too ,0
@peterfacinelli hey peter just wondering when does nurse jackie air again? i would like to set my dvr to tape it. no iphone here ,0
@marcusjroberts working on a Sunday sucks  don't work too hard!,0
@noxertg I saw the wolverine workprint and thought the movie in general sucked. ,0
going to london aquarium today! gonna be so hot... ,0
"I'm heartbroken to say that my grandfather passed away yesterday in the morning at 3:30.  I will miss him so much! I love you, Grandpa.",0
"tomorrow; the last day of school: many tars, many goodbyes, many memories. ",0
eurgh my throat is dry! i want a drink ,0
@BeautiFoul i'm afraid i won't have a chance to. i'm moving back to kansas on tuesday. summer schoolzzzz ,0
Picture isn't showing on twitter hmmmmm ,0
"@tracy_nyc I'm gonna guess &amp; say the final four? Because someone read wikipedia once &amp; assumed I knew who they were, &amp; told me...was sad. ",0
@Kali_roll I miss my ringback tone  but I have that automatic vm lol,0
does any1 have the spousal abuse number? I just got hit for my last tweet  lmao,0
not feeling as great as I did the last time I tweeted...  pity party of one,0
If only they understood... ,0
 I think I'm starting to get sick... piglet flu?,0
I don't really get the whole Twitter thing...I'm challenged ,0
Heading to work  http://twitpic.com/4eojz,0
@BlondeBlogger http://twitpic.com/4w8hk - I'm so sad this is so blurry! ,0
Took the boy fishing but no luck so far ,0
i wonder if there's a &quot;Crop Circle virus&quot; i can send to my partners farm coz he spends more time in FarmTown than with me. ,0
@Im_Queen on twitterberry... I missed it   whatchu doin up?,0
"@imtalia school is... idk, school. heaps of h/w though  hav u got ur yearlys coming up? xox",0
hello new anipals....Im not feeling the best-I have a swollen bottom lip...must get better soon ,0
@beeyawnkuhh happy berfday!! Sorry i never told you sooner ,0
doing art while watching season 6 of family guy! should be out in the sun ,0
I always curl my hair when it rains. ,0
WHAT the hell is going on! is NKOTB NOT coming to Australia now ,0
@DopeDiva lolll! i think 2 of my no good followers left me yest  OH WELL ! lol they should kon what theyr gettin in2 when they follow me,0
"@RobbyWat For a minute I thought that said &quot;Maggie has an extra eye growing.&quot;  Yep, I'm a space cadet.  Sorry for the sweet girl ",0
@NKAirplay i just got a reply from fish &lt;3  yay at least its a band member not unlike a reply from the guys  if i run into you - joe mac,0
"is thinking about spending sometime in the british sun coz got another lovely day, still feeling a bit ",0
@SaraLime Party?  What party?  I was working 'til 8 pm tonight.... ,0
@jsong77  NOT DONE IT'S ALMOST 2 AM  this youtbe better start acting normaal,0
Time to read legal docs ,0
"twitter, won't you allow me to change my photo? ",0
"Thats it, I am going to take a break. I got over 9000 erors ",0
i'm waiting for my girl to get bk as she fly's to CA 2moz and i won't see her for 2 months! ,0
I Still got so Many Unsaid Things that I Wanna say... to you ,0
@megpoynter i misss youuu  ima see you tomrrowww (L),0
Awwwww  I wish Britney Spears would follow me on twiter  ,0
@HeyYoBecky I miss dressing up in fun outfits  @PublicEmileNo1 i know.. it is epic,0
@KathiMcFly yep with my two best friends ;DD melli &amp; katie [: but now it's over  WAS AWESOME hehe [:,0
"Fuck off, Rafa.  Broken serving for the set?",0
@MasterAwesome 23 almost 24   im an old lady,0
Couldn't get moving this morning. Working in the sun everyday is getting to me ,0
totally shocked at the death of such a good mate ,0
I'm really stressing now... ,0
@tommcfly Why do you not respond me? ,0
tummy painnnn  boo. this sucks.,0
@madout1 woooooooow nd I wasn't there (tear) ,0
"Gray's Anatomy Season Finale short-circuited my psyche...power down, retreat into sub-conscious, revisiting ever loss I've ever known ",0
@down_home_kitty Oh balls. I have to go to a wedding &amp; will miss out on the wonderful freebies ,0
@RyanSeacrest im so devastated.  should of been Gokey and Kris. boohoo.,0
"@allissmith haha yeah 2day was 2 B end-o-year fun day stdnt/tchr kickball game, wtrblln toss comp., 5-8th watergun fight but it rained ",0
i wish i still had money so i could buy an owl city t-shirt.  ,0
"@Ladiejay what a day it was  3 hour friends graduation, japanese dining! Shopping now home. I hate graduations ",0
@shaaqT did to whoever was left! think @netra left along with you and @kaushal before that ,0
"@thelithopedion it's so weird. Don't quite know what it is. I was off yesterday, gonna have to brave it today ",0
"@_tranquilize ill keep you up, i have to stay up for finals again bb ",0
@Rowdyeh its not there anymore ,0
wants to go to the confirmation today but cant  x,0
"@Vinnie_Killgasm ARE YOU EXCITED!!! IM EXCITED!! Not really, cause I'm not coming ",0
I miss you  â« http://blip.fm/~8lc2f,0
"@brianwelburn IT can't upgrade to IE8 because much of our software doesn't work with it, 'cos that's out of date too! ",0
is not v. happy about the rain!!!!!!!!!!!!! it cancelled my rounders match  boohoo,0
"yo, wtf is up with the full &amp; lite view shit on myspace. i hate it ",0
@jmarie7481 Hahahahaha... I know you're not. So sad I lost my cd  I think Ray threw it away. I would listen to him everyday.,0
@beacueva dont u know squids can feel it wen u cut em into little rings  EVEN WHEN THEIR DEAD.,0
Just been for a jacuzzi. Now time to pack ,0
@Judius__Maximus i dont want ya to have migraine. ,0
@bagginsboy best part is i've got t4 to watch again tonight ,0
"Ahhh i hate my car now,. time to sell,. Needed to get to an apt at 10 and the battary is dead! ",0
I miss my lappytop. Hope they hurry up with the repairs. ,0
@mcraddictal rofl i'm not really on my tiran all that often though. No one joins ,0
@katbow  Understandable. Go rent the Star Trek legacy and lock yourself away from it all for the next 11.5 hours. See you Monday.,0
Locked out of my house ,0
Suffering! Pulled a muscle in my chest yesterday and spent the night waking up in agony!! ,0
@MissFredi But I feel so constanly ill  @Davina_Morris,0
In the vets for Millies' check up. The cat ain't happy. ,0
"@TeenSamantha me too, had to buy new laptop today  Thats my flights to Philly canx now ;)",0
Crowd was insane. Good win... To be honest seemed like SA didn't think this through well enough. ,0
@cassendraaa YES YES. UNDERSTAND. ,0
just had to pull glass out of my dogs foot  ew. THANK YOU NEIGHBORS FOR SMASHING BOTTLES IN OUR YARD!!,0
Woo i feel evil today  god forgive me,0
today was a great day. really tempted to smoke ,0
"@beschbach You guys and all this stuff, I feel guilty eating egg whites for dinner even ",0
still waiting for the UPS guy  damn it i want my 360,0
@lolly_poppet: matching socks  im sorry ill be there in like an hour,0
@offirg Sorry but I will be at the Cepic AGM in the afternoon  But maybe you we can chat about it later during Cepic,0
ugh!! and the station is full ,0
"Head is splitting again  If I was single last nite I'd have been knee deep in tang, instead I got the top score in Pacman :0 .... Sad.",0
@likewhoaxox awwz  i hate when that happens!! go drink hot chocolate milk to help you fall asleep lolz,0
ohhh 2 write bak 2 ppl u hav 2 put their names 1st evn on ur phone! ughh this whole time i thought i was beastin n im just talkn 2 myself ,0
@JasonLim waaaaa i want ice cream  u're so far away la. Come back!,0
My hair is like a bush ,0
"My cat snuck out, and is stalking somewhere around here lol.  Need to go look for him now     jerk lol.",0
"Watching jonas brothers on MTV, missed the 3d concert at GSC ",0
studying for exams!  I can't wait or summer. 2 more days! :p,0
&quot;test of progress&quot; line in midterm prompt really threw students for a loop. Most wrote about assessment  Lesson for me and them.,0
@charades oh man sounds like work is not fun for you ,0
@dana_ma I'm from Louisiana originally - I know what you're talking about   That's one huge reason Ieft the state,0
Photo: miss germany  http://tumblr.com/xf825f012,0
@megsi23 @PatsyTravers voting is working now but we are soooi behind ,0
I don't know what happened... there were some sad penguins on the ice tonight ,0
catching up on some tv. i miss dvr ,0
Need some help ,0
just getin home frm work sad and touching I know! smh ,0
Oop 3g please dont fail me now ,0
im veryy bad ,0
@DJASAP who is @lil214....lili homie...LILI.... and i am black  75% to be exact lol,0
@gkelly Work prevented me from attending awesome. ,0
; i miss family guyyy. ,0
@Dozeymagz Sorry to break that to you ,0
trying to figure out tweetdeck and failing miserably  ,0
A lot better. Just realized something though. And its hard. Its one of the hardest things I have ever had to do. ,0
Wow 20 days...... Well I can't blame me for not having interwebz      ,0
is sad ,0
Out on money match of wsop $10k hu Td9d All-in vs A4 on a 2d3d5 flop. I thought he was making a 3-bet bluff. Not patient enough    ,0
@Alicia_vintage its quite a long story i shouldnt of tweeted that sorry ,0
Not a good run today ,0
@PennyParnevik i m asking myself the same question! But no answers ,0
gonna spend mother's day in crawl space and garage moving everything from external walls for termite treatment tomorrow.  cobwebs. ick. ,0
@sross4 why? ,0
@charbrum don't deliver at weekends  @nickbev can place an order for you too and then take it to you for your tea ;),0
 i juss wish hed talk...,0
found out i have a throat infection ,0
@COD24 when am i gonna see you? ,0
"AT&amp;T: &quot;you have 4 bars of 3G. oh wait, you want to download something? make that 1 bar of E.&quot; rinse/repeat. thx. ",0
@RichieSosa Me too ,0
I have a rip in my pants. I knew I felt a draft earlier ,0
MONDAY + FIRST OF THE MONTH = LONGGGG DAYYYYY. ,0
@Ana_xo ( awww yes take it  I wanna see them.,0
"my eye keeps twitching, lack of sleep ",0
Aww man! The Space Shuttle Endeavour launch was scrubbed again. ,0
@nickonken Pandora does not work in Brasil!!! ,0
@_MAXWELL_  What happened to your planned Orlando stop?    Gotta rearrange schedule now...can't miss tour!!!,0
is amazed that it's already 12am ,0
Morning. Feeling green around the gills this morning ,0
"@vishuxpert he he he.... sorry cant help you on that..... I, myself dont know marathi.... ",0
"Rain, Rain, GO AWAY!  So done with all the wet weather ... Momma needs some Sunshine Therapy.  Even my flip flop tan is fading ",0
ummmmm...i've done like nothing all day...what a waste ,0
"@archiwiz Babe, I dunno what blogger has done with my blog roll oo! The whole thing has disappeared.  ",0
at work ,0
"Already sent two or three one-forties without hashtags. I'm failing miserably on today's #140Sunday  Oh, well, oh, well, oh, well. Filler.",0
"I guess I will try to go to sleep now even though I havent heard from @DonnieWahlberg  Oh well, Twugs, Twisses, Goodnite &amp; Sweet Dreams!",0
6'oclock needs to hurry up. Im not even suppose to be working weekends ,0
I dont know what to do anymore...this is out of fuckin control. ,0
@Glasgowlassy lol aw your fum must be killin ya!! Bet you didn't want to go to work today? ,0
@rustyrockets I'm dancing due to &quot;wolf spiders&quot; taking over my apartment and quite frankly there is nothing good about it. they're scary ,0
@NDeWitz thats always a scary realization ,0
"@mawbooks Unfortunately, I'm finishing some house stuff, no blog stuff. Wasn't feeling motivated to start on stuff at 10pm. ",0
Gays aren't supposed to be fat.  LOL!  http://twitpic.com/6uvgi,0
Out getting ice creamm!!... So tired ,0
have my permit test in the morning im so scared that im gonna fail ,0
 no voodoo. But i met a really cool person that was at the bus stop. Lol,0
"Alex's mum insists getting up and walking around is the best thing for me, but the pain is *so* bad when I get up  bored silly in bed tho",0
"Morning! Just woke up. Bit early, but I couldn't sleep anymore  Going to learn English a bit. Yes, I can do that on the computer!",0
"@Maiybe I'm sorry  I really wish I could have made it, but there was no way. I didn't get to do anything I wanted today.",0
"@itschristablack i know it would be awesome, i wish yall come back to puerto rico ",0
dave hates my tweets. ,0
Had to take a sick day ,0
Internet is getting damn slow today.. ,0
oh. my. actual. god. i just picked up a spider thinking it was some piece of string. how disgusting?! ,0
I have like 3 mosquitos on my neck ,0
"@halbpro Dude, I feel for you. In this heat. ",0
@Laird_Attwood sorry sorry sorry  if you like i could hop on train to crewe to bring phone/wallet?,0
"could not ride yesterday..    of course, today, there is a wonderful sun!!! argh!",0
"@TheMightyFoz From that Tweet, the link went to the picture in question.  Ugh. I hate people who set up other people. I'm really sorry.",0
@dcr757fresh2def everybody is always talkuin about tommy's I've never been there ,0
"is NOT a very good guesser, so we'll see how tomorrow goes...Whoopee ",0
@BreeSymone haha i said it too and a few others so u arent alone  lmao,0
NEEDS SOMETHING TO DO ,0
is sick    damnit! y does my body hate me??? T-T,0
"Happy Sunny Day Everyone, going back to school tomorrow ",0
Feeling very very sorry for those in the cities who had their weddings yesterday  Hope that doesn't happen to us!,0
It should really be family BBQ. ,0
@doidazzleyou Thats bad  u gon b ok?,0
"@mredstone haha! i was indeed! :-D i didn't see you, sadly ",0
"is it sad that i am totally bummed out that &quot;medium&quot; is moving to cbs?  the show is shit, but i love it ",0
This night has been soooooooooooo BORING!!!!!!!!!!!    ,0
"getting ready, work 2-10 tonight. ",0
@therealtommyg is a LIARRRR ,0
@itsdarryldsmith noooo! Leave public jersey wearing to the kids! ,0
@st_richard @cagirl293031 I too missed pizza night  Toopid hospital.,0
@tomasekeli I agree...kids get so sad when they're sick. ,0
morning tweeties happy monday  having a nice quiet day before work,0
"Seem to have a cold coming on  feel quite weak+Bleurgh.just been in town to get dads pres.getting train home now,early for once yay",0
"Its official now,..Am off twitter for a week,.. Miss me tweeps,..  sob sob..",0
@ZenjiHealth Nice ,0
"And since my eye is worse, I believe that I will finish occurring and I DO NOT WANT ",0
Interview with US Bank went well today.  Will know the decision late this week maybe early next week ,0
"@patlaj Yeah, me too.  However, what Larry wants, Larry generally gets. ",0
ate waaay too much gross cookies ,0
@RoxanneAmelia who's the love of your life? elaborate skank! you'd think you'd of already told me  but no,0
@one_withwings oh!!!  Damn...I forgot to add the space to make it a direct message ,0
@einahpets20 yer I'm good missing Sydney sooooo much  schools not the same. You gots msn?,0
Listenin 2 a bunch of janet's old slow songs while getting ready.  Come Back 2 Me is on. Such a  song!,0
I hate waking up early and not being able to go back to sleep ,0
"Boo, FriendFeed is down!!!  Off to play Spymaster and FlikcChart then. ;-)",0
Finals are annoying wishes she wasn't alone ,0
really bored right now ,0
"@jhocjhoc 3yrs ago i was assigned to UAT indexes. i was an FXP employee then. and now im an ALI employee, walang pagbabago nadagdagan pa ",0
@chiniehdiaz I as disappointed about Angela's sis ,0
"@mallory0905 i guess you never got that tomato sandwich, cheetos and coke you were raving about, considering yall were out of maters... ",0
"i'm tired, and have SAT testing tomorrow ",0
"Windows VM decided to drop net access  Copying all my patches to Linux VM, which still has net access. Yes, I'm avoiding the Mac host",0
"gah, this is upsetting. the proposition 8 ban is still upheld by the CA supreme court. ",0
Well no linen 4 me 2day  put the capri's on &amp; they looked like pants they r so big that what happens when u lose weight like I have...,0
"Last night in, i will miss everyone, all my sweet babes ",0
@Yael_80 I've still not seen it ,0
"tired, frustrated, cranky  blahhh its monday.",0
arghhh pissed off that essendon lost ,0
@brwneyedbratbry sorry honey.  I think u need some TLC. I made it home.,0
Annoyed that I'm going to have to get up early to shower at work because my hot water tank is still boiling up! ,0
I miss sam already ,0
No thats bad!! Lol and yeah  he was a sucky waiter lol @nissepooh,0
i bought a box of clementines at the grocery store yesterday and left them at the check out ,0
wants ice cream and coke combined!  NOW! ,0
"@g3mini521 haha, yeah  I was talking with a friend, and then watched True Blood... my eyes can't stay open much longer",0
@RNSNewman 9:45p Pacific for 90 min ,0
Ugh. My pick up lines didn't work. I'm a failure at life. ,0
"OQO, she is dead - such a shame as they looked like great sub-notebooks  http://bit.ly/uLtP2",0
Dammit! I mis-delete my past update and I forgot what it is about! ,0
I have a torn something in my knee ,0
had such a long and scary dream ,0
@coleybell yeahh dont worry you will! and awww i'm sorry  and because i ate too much! haha,0
@mitchelmusso I'm never calling you again. Your phone is a scammer. It said I'm next and it hung up on me.  Now I can't get you.,0
"merlot rocks, but the wife doesn't like the scruffy stubble and won't kiss me   ",0
@kelz017 I have no pictures of me were I'm not... alone... ugh... ,0
@karmachord It's a bit burned - the microwave here is stronger than my one at home ,0
@ecctv Does your cat murder them in these dreams?  ,0
"head hurts more, stomach hurts less.  WTF is wrong with me 2night?  ",0
i bet you susan boyle is gonna win... ,0
Sitting in my car I fell down now my butt hurts ,0
@vshchen my condolences ,0
@NAZF i cannot see it ,0
@TOUCHOFCLASSENT yeah we closed early like 12:30  I just started today. It was cool,0
in school doing F&amp;N coursework... BORING day.. ,0
listening to Jay Denham's Escape To The Black Planet this morning. Why isn't minimal made like this anymore? ,0
@luzbonita Ack! That isn't a good way to end a day. ,0
"whyyyy is it only 7:10ish in the morning??  On the bright side, I get off two hours early today!",0
im not going to treck to joondalup for the radio tonight. i understand how disappointed all of you are. sorry ,0
just realizes that he has no camera to take for his goa/karnataka family trip ,0
Not too happy about that. ,0
ARgh I wish my hair was longish again I really look like i've a mullet ,0
"@BridgetsBeaches  dont get it here in australia yet, will it be coming to dvd at all, id love to buy it",0
Is depressed he didn't find the charger first ,0
time geos by soo fast...another week of schooll ,0
rainy day ,0
"@adianti thankss tyyy... sedih, soalnya baju2 habis terbakar semua ",0
how do you stop someone who's obsessing on you? it scares me and it makes me paranoid. god please make him stop!i don't feel save anymore ,0
These ppl have no mercy..my kids ,0
Made it all the way to within 50 metres of the office before the heavens opened ,0
@latinaroxy Girly game was awesome really but too bad Dodgers lost ,0
"@BigAssBadger Sounds good. I'd love a Tweeting day, but I've gotta go to work  Enjoy yours!",0
Today's British Formula-1 Grand Prix will be that last race at the legendary Silverstone circuit. ,0
In bed alone again  that's what happens after a long wkend @ work he fell asleep on the couch hrs ago. N won't wake. He's snoring loud 2!,0
I'm stressing like crazy  It sucks cause this kind of crap only happens to people like me.,0
I forgot my laptop with my beau.  text only now,0
Primavera all morning. Bugs in the system = grrrr.  On to sermon editing and laundry in the afternoon.,0
oh my foots hurt ,0
"@colderICE will listening from my phone today, heading to #IRCE to meet thesavvyseller at the end of the day, no chat room for me today ",0
@ReminisceSmith im only on 1800  lol,0
@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? ,0
had nightmares about roaches last night. also needing a trip home. ,0
is broke as a joke! ,0
"@nomysteryleft damn, sidekick fail!  can't wait 4 iphone!!",0
I remember when Friday nights were about taking something I shouldn't and dancing till six in the morning. Now? I stay in and work ,0
had to postpone Sitar show until next Saturday... not enough confirmed dancers ,0
Home. Feel like I've had a sauna. In my clothes ,0
Just got email. Flight has been cancelled. And it was going so well!! Radio show in huge amounts of jeopardy. ,0
"Where is @Dorkus_ I miss him, hes too busy right now ",0
not looking forward to work  but i cant avoid it any longer...,0
1st day back to skl  Its very hot  even my thin tights feel unbearable,0
Tests are nice. But you know RUNNING them once in a while would be nice too ,0
@janexdoe don't worry it'll disappear easilly... I'm 60gb thru an 80gb... ,0
"Thanks dentist. I love you. Great, great timing... ",0
IS MONDAY!! ,0
At home. ,0
i just like to do crazy things and it hasnt been too far out lately  hahaha i sound stupid,0
How does Lars Fredrickson from Rancid sing like that...he's awesome. I just tried singing like him and now I taste blood  that's not good.,0
"today was GOOD  , that little girl hollie in bgt , just me or complete sympahty vote  ! how cute is aidan davis :L? tweet me  x",0
@tomer I realized that only after I installed without it ,0
"No, I didn't beat you all.     Well done @Pennygwynne",0
"Yep, its official......I dont feel well.  ",0
@karenplusone I just realized that WL are playing a couple shows in London soon. And I'm traveling to London then. Sold out! Bad luck ,0
methinks I grew taller. AND THERE IS NOTHING FUNNY WITH WANTING TO HEAL MY SWEATY FEET ,0
"Cudnt get in to blizzards gig in liexlip. . . Heart broken.  in ozone, ahem, ZINC Instead. Mobile twitter wont let me DM Them either.  ...",0
Arghhhhhhhhhhhhh! Fuck the storm! Can't go out with the boys! ,0
Sup 6:30 am? Ugh i wish i was still asleep. Gonna be a long day at work ,0
"@caityluvsyuu no,,,, i dont think so ",0
"Yuk, the rain here ",0
trying to do a research paper on Kate Chopin for English. ,0
@Bella16Finesse also got a damn headache ,0
"is still phoneless  hopefully, changes today.",0
@not_mikecoleman I am sorry  I have only just got back !,0
@elzibelz why can we not get over stuff like this? 1st july? im not here then  so when u get back from ur 2nd hol? whr r u going? xx,0
did ok at PM. Have to keep my day job. No jackpots ,0
is back home after passing time at office!! My office su**s ,0
@DavidArchie  David glad you are having funnn at your show... i cannot wait to see you july 1st.. wish i can meet yoy tho  thats a dream,0
Life is confusing ,0
@fpelligra it was a statistics training...omg pure torture for two whole days. ,0
"@Mandix Since yesterday, my internet broke.. it just got fixed.. and now my site is all blank ",0
homework ,0
workin in the morning  Have to be there at 730! UGH! I seriously don't even wake up that early for school...HELP!,0
"@uscweetie wish I could go to the bbq, have meetings all day ",0
"LOL@1-800 Zombie - I'm a Unicorn, that song is to retarded. ",0
@taco_bell why did you remove the 7-layer nachos ,0
I think somebody put a hex on me. The ghost of Mariah's voice has struck again!! Some1 needs to rub my tummy. ,0
I think Emma's goddamn ignoring me so she avoids saying she doesn't want to go tonight ,0
what a boring day  is anyone there to chat with'?,0
Meagan wont be back til around midnight ,0
"Gah Really bored, All I can be bothered doing is.. Bebo, MSN and Twitter.. ",0
@CHINKEYCHYNA that's wat I'm tryna figure out. I didn't even change my pic. I don't think twitter like me ,0
woke up to a lady kinda yelling outside my window that it was 84F...ALREady...IN the SHaDe! ...aarrrg. not fond of heat. ,0
@lsdvd and i thought not being able to sleep until two am was bad ,0
it's so damn hot in this apartment. too bad i have to make up for my roommate's overuse of electricity by sitting in a sauna myself. ,0
My kitty Gordon just died after weeks of struggling with his sickness.  Melinda (his sister kitty) and I are gonna miss him.,0
watching russel peter. hahaha... but why oh why internet connection so slow ,0
Morning. My throat is still sore; definitely getting sick. At least it waited till after interviews. Rain today for Isaac's field day. ,0
Blah I'm done with twitter. No one I know besides Justin has it so fuck it. ,0
@iDavidCharles I think the thunder shook my house a lil bit. I couldn't get any good sleep after that ,0
I literally feel sick without him...I hate that we can't be together...I just miss him so much! I'm gonna go curl into a ball and cry ,0
@kooljaek you had a great trip tho. I envy you! I'm just gonna be in the city &amp; eat a lot..well it's kinda fun anyway. @emptyframe BOO ,0
 had a blood test today!!,0
@AmyElizabeth26 I don't care where but I haven't been to fuddruckers in like 20 years so that might be cool.  Its pouring here too ,0
@karakarth I'm jk :p and the sjo stinks for gettin cancelled enjoy the hangover I never seen it yet ,0
@melwicks_ yes about the mayonnaise! Negates the healthfulness of lettuce though ,0
"Feel sooo bad! I got Matty sick, now I'm at work and he's at my place trying to recover! Welcome to Toronto Matty ",0
"@mikefoong @hantu  Unfortunately, that Friday night session is no longer on.  my b'ball skills are rapidly eroding.",0
@mileycyrus Miley please write back i love you so much please iÂ´m happy for only a hello for me ..!!! MILEY PLEASE   ,0
Sitting on the subway makes me miss Paris ,0
@McKenzieAnn16 haha no way? i had no idea! i don't use my facebook  i only use it to talk to sulay lol,0
"I miss my strawberry sweet lover  haha, beware of the strawberry sweets they may choke u, not a gud look gaspin for air, tryin nota laf",0
can't seem to shake off the flu ,0
@mcmaddison me toooooo ,0
"Can't sleep -- I shut Daniel's car door on my index finger, and now its in throbbing pain and purple!!!! ",0
tallulah is my new kitten. she curious feisty and cute. loui dog is jealous and scared at the same time ,0
Missed the Olympic tickets ,0
my pooooor baby (my dog chachi)  she had surgery todayyyyy,0
@ihondo I actually had the wrong time. The game is tomorrow and I work then. Lame ,0
great show tonight.. had a great time after as well.. I hate my bed though and I miss the huge king size bed and HD TV ,0
@NaturallyNike a good experience.. the only thing is that he had to go back home.. ,0
Gosh Im Up So Early...People Need To Quit Waking Me Up ,0
